ymdhm,수위,유량,해발표고
2022-06-15 0:00,1.24,387.55,2.99
2022-06-15 0:10,1.22,374.74,2.97
2022-06-15 0:20,1.22,374.74,2.97
2022-06-15 0:30,1.2,362.15,2.95
2022-06-15 0:40,1.19,355.94,2.94
2022-06-15 0:50,1.17,343.69,2.92
2022-06-15 1:00,1.15,331.65,2.9
2022-06-15 1:10,1.14,325.72,2.89
2022-06-15 1:20,1.13,319.84,2.88
2022-06-15 1:30,1.12,314.01,2.87
2022-06-15 1:40,1.13,319.84,2.88
2022-06-15 1:50,1.15,331.65,2.9
2022-06-15 2:00,1.15,331.65,2.9
2022-06-15 2:10,1.17,343.69,2.92
2022-06-15 2:20,1.15,331.65,2.9
2022-06-15 2:30,1.15,331.65,2.9
2022-06-15 2:40,1.14,325.72,2.89
2022-06-15 2:50,1.14,325.72,2.89
2022-06-15 3:00,1.13,319.84,2.88
2022-06-15 3:10,1.12,314.01,2.87
2022-06-15 3:20,1.1,302.53,2.85
2022-06-15 3:30,1.09,296.87,2.84
2022-06-15 3:40,1.08,291.27,2.83
2022-06-15 3:50,1.08,291.27,2.83
2022-06-15 4:00,1.08,291.27,2.83
2022-06-15 4:10,1.08,291.27,2.83
2022-06-15 4:20,1.08,291.27,2.83
2022-06-15 4:30,1.08,291.27,2.83
2022-06-15 4:40,1.08,291.27,2.83
2022-06-15 4:50,1.08,291.27,2.83
2022-06-15 5:00,1.09,296.87,2.84
2022-06-15 5:10,1.09,296.87,2.84
2022-06-15 5:20,1.08,291.27,2.83
2022-06-15 5:30,1.07,285.72,2.82
2022-06-15 5:40,1.06,280.22,2.81
2022-06-15 5:50,1.06,280.22,2.81
2022-06-15 6:00,1.05,274.78,2.8
2022-06-15 6:10,1.04,269.4,2.79
2022-06-15 6:20,1.04,269.4,2.79
2022-06-15 6:30,1.03,264.07,2.78
2022-06-15 6:40,1.03,264.07,2.78
2022-06-15 6:50,1.04,269.4,2.79
2022-06-15 7:00,1.04,269.4,2.79
2022-06-15 7:10,1.04,269.4,2.79
2022-06-15 7:20,1.04,269.4,2.79
2022-06-15 7:30,1.03,264.07,2.78
2022-06-15 7:40,1.04,269.4,2.79
2022-06-15 7:50,1.03,264.07,2.78
