ymdhm,수위,유량,해발표고
2022-06-29 0:00,1.2,868.74,3.27
2022-06-29 0:10,1.19,823.3,3.26
2022-06-29 0:20,1.18,875.24,3.25
2022-06-29 0:30,1.18,839.87,3.25
2022-06-29 0:40,1.17,816.67,3.24
2022-06-29 0:50,1.17,799.01,3.24
2022-06-29 1:00,1.16,780.3,3.23
2022-06-29 1:10,1.15,752.83,3.22
2022-06-29 1:20,1.15,761.63,3.22
2022-06-29 1:30,1.14,734.22,3.21
2022-06-29 1:40,1.14,791.37,3.21
2022-06-29 1:50,1.14,791.37,3.21
2022-06-29 2:00,1.13,807.86,3.2
2022-06-29 2:10,1.13,812.25,3.2
2022-06-29 2:20,1.13,829.82,3.2
2022-06-29 2:30,1.12,833.07,3.19
2022-06-29 2:40,1.12,811.15,3.19
2022-06-29 2:50,1.12,833.07,3.19
2022-06-29 3:00,1.12,828.69,3.19
2022-06-29 3:10,1.11,831.94,3.18
2022-06-29 3:20,1.11,810.05,3.18
2022-06-29 3:30,1.11,849.45,3.18
2022-06-29 3:40,1.11,840.7,3.18
2022-06-29 3:50,1.11,818.8,3.18
2022-06-29 4:00,1.11,766.26,3.18
2022-06-29 4:10,1.11,801.29,3.18
2022-06-29 4:20,1.12,793.61,3.19
2022-06-29 4:30,1.11,775.02,3.18
2022-06-29 4:40,1.1,835.18,3.17
2022-06-29 4:50,1.11,810.05,3.18
2022-06-29 5:00,1.12,819.92,3.19
2022-06-29 5:10,1.12,868.15,3.19
2022-06-29 5:20,1.11,866.97,3.18
2022-06-29 5:30,1.11,880.1,3.18
2022-06-29 5:40,1.11,849.45,3.18
2022-06-29 5:50,1.11,858.21,3.18
2022-06-29 6:00,1.11,875.73,3.18
2022-06-29 6:10,1.11,862.59,3.18
2022-06-29 6:20,1.12,876.92,3.19
2022-06-29 6:30,1.19,601.98,3.26
2022-06-29 6:40,1.42,-543.1,3.49
2022-06-29 6:50,1.56,-1231.67,3.63
2022-06-29 7:00,1.65,-1518.71,3.72
2022-06-29 7:10,1.74,-1992.76,3.81
2022-06-29 7:20,1.83,-2097.24,3.9
2022-06-29 7:30,1.9,-2227.24,3.97
2022-06-29 7:40,2.05,-2199.61,4.12
2022-06-29 7:50,2.25,-1240.68,4.32
2022-06-29 8:00,2.39,-1014.34,4.46
2022-06-29 8:10,2.48,-837.78,4.55
2022-06-29 8:20,2.55,-519.37,4.62
2022-06-29 8:30,2.61,-137.35,4.68
2022-06-29 8:40,2.65,275.97,4.72
2022-06-29 8:50,2.66,616.33,4.73
2022-06-29 9:00,2.67,909.6,4.74
2022-06-29 9:10,2.65,1321.47,4.72
2022-06-29 9:20,2.61,1605.95,4.68
2022-06-29 9:30,2.56,1890.82,4.63
2022-06-29 9:40,2.5,1898.54,4.57
2022-06-29 9:50,2.45,2001.55,4.52
2022-06-29 10:00,2.4,2051.69,4.47
2022-06-29 10:10,2.35,1962.74,4.42
2022-06-29 10:20,2.3,1859.42,4.37
2022-06-29 10:30,2.23,1818.67,4.3
2022-06-29 10:40,2.18,1767.6,4.25
2022-06-29 10:50,2.13,1766.93,4.2
2022-06-29 11:00,2.08,1766.14,4.15
2022-06-29 11:10,2.03,1770.18,4.1
2022-06-29 11:20,1.98,1715.23,4.05
2022-06-29 11:30,1.94,1765.3,4.01
2022-06-29 11:40,1.9,1722.59,3.97
2022-06-29 11:50,1.85,1678.14,3.92
2022-06-29 12:00,1.81,1650.56,3.88
2022-06-29 12:10,1.77,1599.31,3.84
2022-06-29 12:20,1.74,1574.24,3.81
2022-06-29 12:30,1.7,1547.34,3.77
2022-06-29 12:40,1.67,1532.02,3.74
2022-06-29 12:50,1.63,1505.45,3.7
2022-06-29 13:00,1.61,1473.52,3.68
2022-06-29 13:10,1.57,1442.69,3.64
2022-06-29 13:20,1.54,1418.56,3.61
2022-06-29 13:30,1.52,1414.89,3.59
2022-06-29 13:40,1.5,1392.78,3.57
2022-06-29 13:50,1.47,1396.53,3.54
2022-06-29 14:00,1.45,1388.3,3.52
2022-06-29 14:10,1.43,1348.11,3.5
2022-06-29 14:20,1.41,1353.7,3.48
2022-06-29 14:30,1.39,1350.14,3.46
2022-06-29 14:40,1.36,1322.17,3.43
2022-06-29 14:50,1.35,1356.6,3.42
2022-06-29 15:00,1.33,1307.91,3.4
2022-06-29 15:10,1.31,1335.92,3.38
2022-06-29 15:20,1.29,1278.54,3.36
2022-06-29 15:30,1.27,1328.82,3.34
2022-06-29 15:40,1.26,1282.36,3.33
2022-06-29 15:50,1.25,1253.88,3.32
2022-06-29 16:00,1.24,1252.2,3.31
2022-06-29 16:10,1.22,1217.73,3.29
2022-06-29 16:20,1.22,1146.62,3.29
2022-06-29 16:30,1.18,1131.62,3.25
2022-06-29 16:40,1.2,1121.38,3.27
2022-06-29 16:50,1.19,1111.02,3.26
2022-06-29 17:00,1.18,1118.36,3.25
2022-06-29 17:10,1.17,1077.12,3.24
2022-06-29 17:20,1.15,1127.04,3.22
2022-06-29 17:30,1.15,1109.43,3.22
2022-06-29 17:40,1.15,1175.46,3.22
2022-06-29 17:50,1.14,1134.3,3.21
2022-06-29 18:00,1.14,1143.1,3.21
2022-06-29 18:10,1.13,1106.42,3.2
2022-06-29 18:20,1.12,1113.69,3.19
2022-06-29 18:30,1.11,1085.9,3.18
2022-06-29 18:40,1.11,1050.87,3.18
2022-06-29 18:50,1.1,1053.81,3.17
2022-06-29 19:00,1.1,1010.09,3.17
2022-06-29 19:10,1.1,975.11,3.17
2022-06-29 19:20,1.13,917.63,3.2
2022-06-29 19:30,1.24,338.67,3.31
2022-06-29 19:40,1.35,-135.66,3.42
2022-06-29 19:50,1.43,-456.99,3.5
2022-06-29 20:00,1.48,-643.98,3.55
2022-06-29 20:10,1.54,-718.55,3.61
2022-06-29 20:20,1.58,-726.93,3.65
2022-06-29 20:30,1.63,-750.38,3.7
2022-06-29 20:40,1.73,-185.25,3.8
2022-06-29 20:50,1.78,430.21,3.85
2022-06-29 21:00,1.81,714.92,3.88
2022-06-29 21:10,1.83,1159.26,3.9
2022-06-29 21:20,1.83,1467.11,3.9
