ymdhm,수위,유량,해발표고
2022-07-13 0:00,2.1,734.09,2.9
2022-07-13 0:10,2.09,720.22,2.89
2022-07-13 0:20,2.08,706.48,2.88
2022-07-13 0:30,2.08,706.48,2.88
2022-07-13 0:40,2.1,734.09,2.9
2022-07-13 0:50,2.12,762.23,2.92
2022-07-13 1:00,2.12,762.23,2.92
2022-07-13 1:10,2.11,748.09,2.91
2022-07-13 1:20,2.08,706.48,2.88
2022-07-13 1:30,2.07,692.88,2.87
2022-07-13 1:40,2.07,692.88,2.87
2022-07-13 1:50,2.07,692.88,2.87
2022-07-13 2:00,2.07,692.88,2.87
2022-07-13 2:10,2.07,692.88,2.87
2022-07-13 2:20,2.07,692.88,2.87
2022-07-13 2:30,2.07,692.88,2.87
2022-07-13 2:40,2.07,692.88,2.87
2022-07-13 2:50,2.06,679.42,2.86
2022-07-13 3:00,2.06,679.42,2.86
2022-07-13 3:10,2.08,706.48,2.88
2022-07-13 3:20,2.09,720.22,2.89
2022-07-13 3:30,2.09,720.22,2.89
2022-07-13 3:40,2.1,734.09,2.9
2022-07-13 3:50,2.1,734.09,2.9
2022-07-13 4:00,2.1,734.09,2.9
2022-07-13 4:10,2.09,720.22,2.89
2022-07-13 4:20,2.09,720.22,2.89
2022-07-13 4:30,2.09,720.22,2.89
2022-07-13 4:40,2.09,720.22,2.89
2022-07-13 4:50,2.09,720.22,2.89
2022-07-13 5:00,2.08,706.48,2.88
2022-07-13 5:10,2.09,720.22,2.89
2022-07-13 5:20,2.17,834.96,2.97
2022-07-13 5:30,2.35,1124.83,3.15
2022-07-13 5:40,2.48,1361.59,3.28
2022-07-13 5:50,2.58,1559.43,3.38
2022-07-13 6:00,2.67,1749.2,3.47
2022-07-13 6:10,2.76,1950.09,3.56
2022-07-13 6:20,2.82,2090.21,3.62
2022-07-13 6:30,2.88,2235.29,3.68
2022-07-13 6:40,2.94,2385.34,3.74
2022-07-13 6:50,3,2540.37,3.8
2022-07-13 7:00,3.06,2700.37,3.86
2022-07-13 7:10,3.11,2837.52,3.91
2022-07-13 7:20,3.14,2921.48,3.94
2022-07-13 7:30,3.15,2949.74,3.95
