ymdhm,수위,유량,해발표고
2022-06-29 0:00,3.38,-,3.31
2022-06-29 0:10,3.37,-,3.3
2022-06-29 0:20,3.36,-,3.29
2022-06-29 0:30,3.35,-,3.28
2022-06-29 0:40,3.34,-,3.27
2022-06-29 0:50,3.34,-,3.27
2022-06-29 1:00,3.34,-,3.27
2022-06-29 1:10,3.33,-,3.26
2022-06-29 1:20,3.33,-,3.26
2022-06-29 1:30,3.32,-,3.25
2022-06-29 1:40,3.32,-,3.25
2022-06-29 1:50,3.32,-,3.25
2022-06-29 2:00,3.32,-,3.25
2022-06-29 2:10,3.31,-,3.24
2022-06-29 2:20,3.31,-,3.24
2022-06-29 2:30,3.31,-,3.24
2022-06-29 2:40,3.3,-,3.23
2022-06-29 2:50,3.3,-,3.23
2022-06-29 3:00,3.3,-,3.23
2022-06-29 3:10,3.3,-,3.23
2022-06-29 3:20,3.3,-,3.23
2022-06-29 3:30,3.3,-,3.23
2022-06-29 3:40,3.29,-,3.22
2022-06-29 3:50,3.29,-,3.22
2022-06-29 4:00,3.29,-,3.22
2022-06-29 4:10,3.29,-,3.22
2022-06-29 4:20,3.29,-,3.22
2022-06-29 4:30,3.29,-,3.22
2022-06-29 4:40,3.3,-,3.23
2022-06-29 4:50,3.29,-,3.22
2022-06-29 5:00,3.3,-,3.23
2022-06-29 5:10,3.3,-,3.23
2022-06-29 5:20,3.3,-,3.23
2022-06-29 5:30,3.3,-,3.23
2022-06-29 5:40,3.3,-,3.23
2022-06-29 5:50,3.3,-,3.23
2022-06-29 6:00,3.3,-,3.23
2022-06-29 6:10,3.3,-,3.23
2022-06-29 6:20,3.3,-,3.23
2022-06-29 6:30,3.3,-,3.23
2022-06-29 6:40,3.42,-,3.35
2022-06-29 6:50,3.65,-,3.58
2022-06-29 7:00,3.76,-,3.69
2022-06-29 7:10,3.86,-,3.79
2022-06-29 7:20,3.94,-,3.87
2022-06-29 7:30,4.06,-,3.99
2022-06-29 7:40,4.32,-,4.25
2022-06-29 7:50,4.48,-,4.41
2022-06-29 8:00,4.57,-,4.5
2022-06-29 8:10,4.69,-,4.62
2022-06-29 8:20,4.77,-,4.7
2022-06-29 8:30,4.84,-,4.77
2022-06-29 8:40,4.88,-,4.81
2022-06-29 8:50,4.89,-,4.82
2022-06-29 9:00,4.89,-,4.82
2022-06-29 9:10,4.87,-,4.8
2022-06-29 9:20,4.83,-,4.76
2022-06-29 9:30,4.77,-,4.7
2022-06-29 9:40,4.7,-,4.63
2022-06-29 9:50,4.64,-,4.57
2022-06-29 10:00,4.59,-,4.52
2022-06-29 10:10,4.54,-,4.47
2022-06-29 10:20,4.48,-,4.41
2022-06-29 10:30,4.42,-,4.35
2022-06-29 10:40,4.37,-,4.3
2022-06-29 10:50,4.32,-,4.25
2022-06-29 11:00,4.27,-,4.2
2022-06-29 11:10,4.22,-,4.15
2022-06-29 11:20,4.17,-,4.1
2022-06-29 11:30,4.13,-,4.06
2022-06-29 11:40,4.08,-,4.01
2022-06-29 11:50,4.04,-,3.97
2022-06-29 12:00,4,-,3.93
2022-06-29 12:10,3.96,-,3.89
2022-06-29 12:20,3.92,-,3.85
2022-06-29 12:30,3.89,-,3.82
2022-06-29 12:40,3.85,-,3.78
2022-06-29 12:50,3.83,-,3.76
2022-06-29 13:00,3.79,-,3.72
2022-06-29 13:10,3.76,-,3.69
2022-06-29 13:20,3.74,-,3.67
